cluster,dietary_habit,nicotine_use,work_hours,AP1,AP2,AP3,AP4,FS1,FS2,FS3,FP1,FP2,SS1,SS2,SS3,sleep_duration,anxiety,depression,short_term_memory,family_history,self_harm
0,2.24,1.14,1.34,2.55,2.69,3.14,2.48,2.9,2.41,2.21,3.24,3.45,3.31,3.14,3.48,1.9,4.86,4.45,3.62,2.86,4.17
1,2.43,1.33,1.88,2.8,3.22,3.75,2.98,3.03,2.72,2.45,3.07,2.67,2.38,2.0,2.23,1.67,2.13,1.07,2.87,1.67,1.07
2,2.98,1.19,1.66,3.73,4.36,4.4,4.05,3.3,3.17,3.05,3.6,4.28,3.43,2.72,3.33,2.28,4.58,3.42,3.72,1.88,1.6
