Model,Accuracy,Balanced Accuracy,AUC ROC,F1 Score,Time Taken,Precision,Recall
ExtraTreesClassifier,0.8679245283018868,0.8579710144927537,0.8579710144927536,0.8664618984934913,0.060544400002982,0.8708404802744426,0.8679245283018868
DecisionTreeClassifier,0.8113207547169812,0.8130434782608695,0.8130434782608696,0.81199848189113,0.0018906000041170046,0.8149865229110512,0.8113207547169812
RandomForestClassifier,0.8113207547169812,0.8130434782608695,0.8130434782608696,0.81199848189113,0.08052030000544619,0.8149865229110512,0.8113207547169812
BaggingClassifier,0.8113207547169812,0.8079710144927537,0.8079710144927535,0.8113207547169812,0.017053399998985697,0.8113207547169812,0.8113207547169812
QuadraticDiscriminantAnalysis,0.8113207547169812,0.7927536231884058,0.7927536231884058,0.8057461406518011,0.0014811000000918284,0.8231594524602294,0.8113207547169812
XGBClassifier,0.7735849056603774,0.7797101449275362,0.7797101449275363,0.7745552560646901,0.030102199998509604,0.7843358598075579,0.7735849056603774
KNeighborsClassifier,0.7358490566037735,0.7565217391304347,0.7565217391304349,0.7330188679245283,0.005803200001537334,0.7855917667238422,0.7358490566037735
SVC,0.7169811320754716,0.7043478260869566,0.7043478260869566,0.7138469253431955,0.003980900000897236,0.7154373927958835,0.7169811320754716
