Model,Accuracy,Balanced Accuracy,AUC ROC,F1 Score,Time Taken,Precision,Recall
ExtraTreesClassifier,0.8947368421052632,0.7142857142857143,0.7142857142857143,0.8768740031897927,0.051408100000116974,0.906766917293233,0.8947368421052632
RandomForestClassifier,0.8421052631578947,0.6267281105990783,0.6267281105990783,0.8153110047846889,0.07034060000296449,0.8220551378446114,0.8421052631578947
KNeighborsClassifier,0.8157894736842105,0.5,0.5,0.7330282227307399,0.00961960000131512,0.6655124653739612,0.8157894736842105
SVC,0.8157894736842105,0.5,0.5,0.7330282227307399,0.005852399997820612,0.6655124653739612,0.8157894736842105
QuadraticDiscriminantAnalysis,0.8157894736842105,0.5,0.5,0.7330282227307399,0.0035600999981397763,0.6655124653739612,0.8157894736842105
XGBClassifier,0.7894736842105263,0.6497695852534562,0.6497695852534562,0.7894736842105263,0.023896299993793946,0.7894736842105263,0.7894736842105263
BaggingClassifier,0.7368421052631579,0.5069124423963134,0.5069124423963133,0.7190241228070176,0.015294999997422565,0.7043062200956939,0.7368421052631579
DecisionTreeClassifier,0.7105263157894737,0.5460829493087558,0.5460829493087557,0.7178027034800115,0.00456560000020545,0.7258771929824562,0.7105263157894737
